,w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575,w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101,w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
6072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6077,40.210800000000006,52.58599999999999,43.3812,47.7396,51.48760000000001,48.9564,54.774,44.9844,45.518800000000006,53.8676,41.1676,40.6116,63.2884,40.33,38.0044,54.4492,46.8044,42.7564,41.900400000000005,40.514,49.29240000000001,46.3132,39.5716,49.5452,57.4028,39.1852,50.654,51.1812,52.4556,49.5196
6078,213.9477,328.8785,226.7228,244.6209,241.3574,239.1091,309.922,226.4636,226.3772,299.43839999999994,205.8204,213.8829,321.8331,219.2435,190.3866,331.23479999999995,244.7721,210.8786,181.7841,200.611,262.9726,228.9063,203.4209,268.24679999999995,325.4422,198.1683,302.6155,305.1878,278.4064,228.3879
6079,366.0557,575.2450999999999,381.9758000000001,404.6207,381.9338000000001,387.1931,523.4648,374.8406,372.46220000000005,503.4746,343.7792,364.2719,515.6009,377.5373,321.821,572.9588,408.7829,348.7202,286.4633,334.676,439.7522,374.9327,344.8763,450.6392,547.8014000000001,334.5839,523.7830999999999,527.4428,461.7104000000001,360.6623
6080,552.1069,799.5094999999999,563.9766,581.3323,538.6078,553.7027,721.874,549.2142,544.2934,697.3697999999999,518.6587999999999,548.4163,684.5357,567.4345,498.5102,790.5656,589.9437,520.4542,437.9977,508.252,624.5222000000001,545.1911,525.1423,638.6196,746.9434,512.2751,735.1735,738.5316,644.6708000000001,515.6663
6081,720.9569,936.7186,723.0051000000001,726.8936,670.6682000000001,694.4227,849.4468,702.5846999999999,695.7779,827.0474999999999,683.3116,715.8518,783.4269999999999,736.4107999999999,672.6856,921.4726,738.8055,680.0468000000001,597.6029000000001,674.6645,766.5178,694.1455,695.1542,780.27,866.8795999999999,683.1037,876.4661,878.2370999999999,777.1437999999999,653.3047
6082,865.7241999999999,1043.4621999999997,857.5107999999999,847.303,778.3732,810.5686000000001,948.2416,831.6915999999999,823.0852,928.5627999999998,824.608,859.2693999999999,853.9641999999999,880.9425999999999,824.1363999999999,1022.0248,862.3642,816.1587999999999,735.685,817.9959999999999,882.2788,818.8606,841.7421999999999,895.3456,957.3196,830.8269999999999,988.8862,988.9648,882.7504,767.2221999999999
