w246792829,w469681591,w482824940,w506294760,w592487869
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
58.836400000000005,65.1351,69.0543,59.6758,56.877
114.2468,117.6924,119.85739999999998,113.6948,113.6384
113.7676,112.9766,112.5,112.9144,114.3564
164.64839999999998,164.2291,163.98729999999998,163.6758,165.199
188.4752,188.3698,188.3194,187.7324,188.842
254.7612,260.0324,263.2688,257.55,252.16520000000003
284.5932,296.22459999999995,303.2905999999999,294.3672,277.2056
364.612,392.1101,408.6329,396.4606,343.1402
146.49599999999998,155.5248,160.8492,161.78879999999998,137.2296
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
47.9624,51.6009,53.86749999999999,48.3206,46.8886
287.6012,334.578,363.8842,290.2076,274.6624
321.6648,357.5229,379.8899,323.7918,311.7254
436.3972,477.9195,503.6787,445.6246,421.7874
318.1768,330.38370000000003,337.9241,322.44460000000004,313.16900000000004
188.0112,188.2638,188.4264,187.7844,188.052
173.0272,174.15800000000002,174.84519999999998,173.9656,172.3144
53.900000000000006,53.40830000000001,53.1097,53.48180000000001,54.2146
91.8408,95.9473,98.3655,98.9622,87.5502
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
124.234,146.3866,160.1634,127.5256,117.1872
264.9224,304.1513,328.6211,267.239,254.0534
381.8264,435.5234,469.014,385.1876,366.8616
504.8396,561.6629,596.9137,517.5002000000001,484.831
562.858,616.2785,649.2245,584.065,539.783
579.4612,629.6062999999999,660.3239,609.3694,553.217
524.8743999999999,567.3477,593.1507,560.5294,497.9142000000001
373.8064,401.8752,418.7402,406.3504,351.8732
219.1628,235.0188,244.376,245.6972,203.0372
0.0,0.0,0.0,0.0,0.0
