,w298890331,w472420804,w473457215,w475959205,w475960231,w476748191,w477684043,w478158110,w482663211,w482663212,w516261689,w526337678,w533804140,w535766602,w538114085,w539127966,w541436889,w541438316,w541772549,w541914139,w541965084,w543185521,w574606561,w574610371,w576480195,w579398457,w584478907,w587036156,w592870302,w592874720,w625668205,w633631672,w633647614,w633657246,w633668901,w633668944,w633706198,w633724575,w633724599,w639970921,w800747472,w839482158,w881941844,w884214063,w891199681,w896947029,w898628582,w900520092,w901800611,w1208680335,w246792829,w469681591,w482824940,w506294760,w592487869,w538115135,w539744154
1260,628.3805,577.5190000000001,557.3443000000001,668.0809000000002,735.8291,560.2114000000001,643.4786,597.6584,618.8763,567.0852,610.0822000000001,610.5031,535.1882,604.7164,627.6265,550.2863,657.2615,574.8447,602.3580000000001,648.9408000000001,598.9822,603.4451,614.1242,557.0636999999999,554.8017,626.2674000000001,607.8202000000001,671.9911999999999,604.3394000000001,630.6864,713.8133000000001,604.9531000000001,629.0381,659.9969,632.7117000000001,631.8173999999999,595.1683,638.779,629.1784,571.2236,593.1955,607.5396000000001,648.6516,631.4843000000001,569.812,626.4516,560.0272,641.1288,576.3088,632.475,630.4936,660.7423,679.2773,648.2746000000001,614.7818,628.8978000000001,596.4835
1261,458.0645,464.1378,428.2851,492.44409999999993,501.3085,439.409,475.8524,454.71220000000005,459.26069999999993,421.4808,443.6325999999999,453.4237,413.0262,452.1831999999999,462.7533,430.8141,485.2742999999999,435.2703,475.1214,458.43,429.9354,455.9527,459.8588,421.7577,435.8241,442.2518,457.699,472.2638,454.5276,456.1336,489.3133,446.5751,462.2475,459.9916999999999,447.6753,449.1004,441.2439,455.44319999999993,465.5112,428.8352,428.6948999999999,451.1716,485.0454,463.5803,429.341,457.651,424.0097999999999,465.6478,413.7572,453.2833999999999,473.8772,488.4457,497.2695,487.3898,464.0418,458.9838,449.6099
1262,505.5645,592.0394,465.2699,602.7501,558.9362,508.6648,562.3659,528.2429,521.9816999999999,424.9608,466.7232,507.4368,427.567,509.1444,526.2058999999999,484.3684,585.5238999999999,473.7183,608.5317,482.4816,422.3546,526.5353,530.1903,438.1275,500.0517,441.5282,528.6474000000001,513.1143,519.4651000000001,494.6746,534.8045000000001,485.2525,522.3862,475.8159,456.6423,463.7124999999999,474.5273,482.0771,535.9574,450.9648,424.0622,501.505,594.8709,525.0675,454.7845,506.1337,444.0593,522.2215,381.4012,480.5342,569.6007999999999,594.7062,609.6555999999999,605.1916,547.012,508.81500000000005,508.1707
1263,222.7135,284.3682,218.6337,266.8023,224.6416,242.1864,250.5907,243.4057,234.3791,193.5284,205.7256,228.4134,203.287,230.8752,234.4677,231.1642,259.9717,218.8109,287.1401,204.4388,183.7698,240.9439,240.2119,203.5085,238.7711,187.4066,240.9882,215.5939,236.7523,216.0158,216.8575,217.4355,231.9616,197.8297,194.1929,198.3845,213.9759,206.8563,239.5242,207.0124,186.2316,225.863,267.4457,232.8265,209.5185,223.5341,206.0589,228.7235,166.7376,207.6326,258.0204,264.2076,267.7558,273.32280000000003,249.46,224.399,232.4721
1264,33.07299999999999,33.0548,34.1702,31.9394,31.4662,33.8348,32.5036,33.268,33.0678,34.3392,33.553999999999995,33.2654,34.6876,33.31999999999999,32.9378,34.1182,32.1838,33.9102,32.654399999999995,32.9976,33.99079999999999,33.2134,33.0652,34.36259999999999,33.956999999999994,33.5436,33.148399999999995,32.5192,33.2524,33.1224,31.887400000000003,33.4838,32.9482,32.917,33.3642,33.3252,33.671,33.1172,32.852,34.1104,34.045399999999994,33.3408,32.2176,32.901399999999995,34.099999999999994,33.0912,34.28719999999999,32.8104,34.5368,33.200399999999995,32.6024,32.0798,31.7626,32.15,32.9404,33.0444,33.4214
1265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
