Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-03-03 15:00:00,-5.223176105044003,11.646207279417002,64.41551831580199,70.83854949017498
2019-03-03 16:00:00,58.506520208863975,12.54753665326,66.819737368216,137.87379423033997
2019-03-03 17:00:00,227.946268,14.22296744,75.4574524,317.62668784
2019-03-03 18:00:00,326.128,19.66536,107.95729999999999,453.75066
2019-03-03 19:00:00,335.01072,19.332984,110.89933799999999,465.243042
2019-03-03 20:00:00,266.69100499999996,15.6060857,88.2847565,370.58184719999997
2019-03-03 21:00:00,217.3605,13.3986,71.95309,302.71218999999996
2019-03-03 22:00:00,197.793634,12.638755640000001,65.4747969,275.90718654
2019-03-03 23:00:00,177.550824,12.205976640000001,58.775257200000006,248.53205784
2019-03-04 00:00:00,146.407632,11.28503712,48.467568799999995,206.16023792
2019-03-04 01:00:00,136.1799,11.443185,45.081517500000004,192.70460250000002
2019-03-04 02:00:00,134.83562,11.343371800000002,44.63509500000001,190.8140868
2019-03-04 03:00:00,123.585709,10.734359999999999,40.90877375,175.22884274999998
2019-03-04 04:00:00,126.41894799999999,10.98466384,41.850974799999996,179.25458663999999
2019-03-04 05:00:00,145.0032,12.51744,48.00256,205.52319999999997
2019-03-04 06:00:00,150.082932317948,14.738437007085,55.599613045468,220.420982370501
2019-03-04 07:00:00,40.128951874959974,18.435243851699997,67.37071325763999,125.93490898429997
2019-03-04 08:00:00,-27.584242203216,25.666857314999994,80.42856833999998,78.51118345178398
2019-03-04 09:00:00,-99.11667953900003,31.030410114534003,96.567283866424,28.48101444195798
2019-03-04 10:00:00,-158.99281444229996,28.867286778520004,99.53433492008001,-30.59119274369995
2019-03-04 11:00:00,-184.96623092928,27.840566594912,96.067664641504,-61.057999692864
2019-03-04 12:00:00,-135.64762750520802,24.671590263094,91.39987398382002,-19.576163258294002
2019-03-04 13:00:00,-124.13837628400003,21.380411645,82.70120329299999,-20.056761346000044
2019-03-04 14:00:00,-57.27975935304,22.930774664639998,83.27343760962,48.92445292122
2019-03-04 15:00:00,198.50542669248,25.419035628300005,92.13250056797999,316.05696288876
2019-03-04 16:00:00,182.09797356057197,27.776112364150993,100.874538617402,310.74862454212496
2019-03-04 17:00:00,329.59368,25.97511072,109.1060568,464.67484751999996
2019-03-04 18:00:00,398.70000000000005,27.23832,131.9841,557.9224200000001
2019-03-04 19:00:00,419.53899,26.462822659999997,138.88222249999998,584.8840351599999
2019-03-04 20:00:00,312.69528,19.012164000000002,103.51211400000001,435.219558
2019-03-04 21:00:00,252.17376099999998,15.78828422,83.48025969999999,351.44230491999997
2019-03-04 22:00:00,210.16383000000002,13.1876718,69.573075,292.9245768
2019-03-04 23:00:00,182.407851,12.353713379999999,60.381142649999994,255.14270702999997
2019-03-05 00:00:00,157.994685,12.412488960000001,52.29962685,222.70680081
2019-03-05 01:00:00,146.3026,11.941632,48.43265,206.676882
2019-03-05 02:00:00,144.811174,12.351617240000001,47.9359837,205.09877494
2019-03-05 03:00:00,141.134,12.12624,46.7187,199.97893999999997
2019-03-05 04:00:00,147.021182,12.82296008,48.67102175,208.51516383
2019-03-05 05:00:00,157.232879,13.89736692,52.05076244999999,223.18100836999997
2019-03-05 06:00:00,178.73402318200002,16.5132776523,61.42078845760001,256.6680892919
2019-03-05 07:00:00,151.00986140799998,19.579131236,72.06245211199999,242.65144475599996
2019-03-05 08:00:00,100.28176960456798,25.806190252481997,81.27128269288801,207.359242549938
2019-03-05 09:00:00,24.178391089599998,28.233496597200002,91.2215561076,143.6334437944
2019-03-05 10:00:00,175.685508109712,25.081444737004002,88.25076835631602,289.017721203032
2019-03-05 11:00:00,140.55108464000003,22.43392722,79.78138372,242.76639558000005
2019-03-05 12:00:00,161.57501745294,20.968378434913003,79.65118153993001,262.194577427783
