time,P,G(i),H_sun,T2m,WS10m,Int
20190107:0010,0.0,0.0,0.0,-0.53,1.03,0.0
20190107:0110,0.0,0.0,0.0,-0.66,1.03,0.0
20190107:0210,0.0,0.0,0.0,-0.76,0.97,0.0
20190107:0310,0.0,0.0,0.0,-0.75,0.97,0.0
20190107:0410,0.0,0.0,0.0,-0.87,0.97,0.0
20190107:0510,0.0,0.0,0.0,-1.01,1.03,0.0
20190107:0610,0.0,0.0,0.0,-0.98,1.1,0.0
20190107:0710,13.64,27.34,4.78,-1.71,1.17,0.0
20190107:0810,67.97,92.03,13.09,-0.42,1.03,0.0
20190107:0910,88.43,134.57,19.69,1.62,1.1,0.0
20190107:1010,195.72,255.47,24.01,1.04,1.31,0.0
20190107:1110,281.17,341.31,25.58,2.73,1.38,0.0
20190107:1210,337.66,399.34,24.2,2.44,1.38,0.0
20190107:1310,290.98,342.03,20.04,2.18,1.38,0.0
20190107:1410,175.68,212.13,13.58,1.69,1.17,0.0
20190107:1510,16.86,31.89,5.37,1.05,0.9,0.0
20190107:1610,0.0,0.0,0.0,1.43,0.83,0.0
20190107:1710,0.0,0.0,0.0,0.53,0.9,0.0
20190107:1810,0.0,0.0,0.0,-0.25,0.9,0.0
20190107:1910,0.0,0.0,0.0,0.67,0.9,0.0
20190107:2010,0.0,0.0,0.0,0.25,0.83,0.0
20190107:2110,0.0,0.0,0.0,-0.01,0.69,0.0
20190107:2210,0.0,0.0,0.0,-0.3,0.76,0.0
20190107:2310,0.0,0.0,0.0,-0.48,0.83,0.0
20190108:0010,0.0,0.0,0.0,-0.67,0.76,0.0
20190108:0110,0.0,0.0,0.0,-1.06,0.69,0.0
20190108:0210,0.0,0.0,0.0,-1.25,0.55,0.0
20190108:0310,0.0,0.0,0.0,-1.48,0.48,0.0
20190108:0410,0.0,0.0,0.0,-1.61,0.41,0.0
20190108:0510,0.0,0.0,0.0,-1.55,0.34,0.0
20190108:0610,0.0,0.0,0.0,-1.31,0.34,0.0
20190108:0710,13.54,27.34,4.82,-0.3,0.55,0.0
20190108:0810,69.14,93.86,13.15,0.78,0.62,0.0
20190108:0910,116.58,151.15,19.77,2.43,0.83,0.0
20190108:1010,194.46,253.43,24.12,1.22,1.24,0.0
20190108:1110,186.01,227.01,25.71,3.47,1.66,0.0
20190108:1210,187.5,227.28,24.35,3.25,1.72,0.0
20190108:1310,91.11,119.25,20.2,2.72,1.38,0.0
20190108:1410,22.94,39.89,13.74,2.62,1.45,0.0
20190108:1510,5.79,16.4,5.53,2.2,1.03,0.0
20190108:1610,0.0,0.0,0.0,1.63,1.03,0.0
20190108:1710,0.0,0.0,0.0,1.93,0.97,0.0
20190108:1810,0.0,0.0,0.0,1.96,0.9,0.0
20190108:1910,0.0,0.0,0.0,2.58,0.62,0.0
20190108:2010,0.0,0.0,0.0,2.61,0.62,0.0
20190108:2110,0.0,0.0,0.0,2.45,0.69,0.0
20190108:2210,0.0,0.0,0.0,2.5,0.55,0.0
20190108:2310,0.0,0.0,0.0,2.32,0.69,0.0
20190109:0010,0.0,0.0,0.0,2.45,0.55,0.0
20190109:0110,0.0,0.0,0.0,2.47,0.48,0.0
20190109:0210,0.0,0.0,0.0,2.39,0.62,0.0
20190109:0310,0.0,0.0,0.0,2.23,0.62,0.0
20190109:0410,0.0,0.0,0.0,1.76,0.76,0.0
20190109:0510,0.0,0.0,0.0,1.34,0.83,0.0
20190109:0610,0.0,0.0,0.0,0.78,0.97,0.0
20190109:0710,14.12,28.25,4.86,0.98,1.03,0.0
20190109:0810,59.48,82.92,13.21,1.13,1.24,0.0
20190109:0910,86.39,114.08,19.86,2.64,1.93,0.0
20190109:1010,118.12,149.73,24.23,2.92,1.93,0.0
20190109:1110,100.71,130.11,25.85,3.04,1.72,0.0
20190109:1210,44.62,66.48,24.5,4.0,1.72,0.0
