time,P,G(i),H_sun,T2m,WS10m,Int
20190113:0010,0.0,0.0,0.0,-0.28,0.28,0.0
20190113:0110,0.0,0.0,0.0,-0.19,0.28,0.0
20190113:0210,0.0,0.0,0.0,0.02,0.41,0.0
20190113:0310,0.0,0.0,0.0,0.07,0.48,0.0
20190113:0410,0.0,0.0,0.0,0.23,0.48,0.0
20190113:0510,0.0,0.0,0.0,0.56,0.48,0.0
20190113:0610,0.0,0.0,0.0,0.82,0.62,0.0
20190113:0710,7.14,18.37,5.1,0.87,0.62,0.0
20190113:0810,223.53,262.77,13.54,1.51,0.48,0.0
20190113:0910,374.7,435.39,20.28,2.38,0.55,0.0
20190113:1010,661.17,787.78,24.76,2.27,0.83,0.0
20190113:1110,561.23,658.09,26.47,2.78,1.17,0.0
20190113:1210,616.41,733.84,25.19,5.58,1.52,0.0
20190113:1310,538.29,638.44,21.08,5.64,1.17,0.0
20190113:1410,405.54,481.99,14.63,5.41,0.9,0.0
20190113:1510,182.38,237.05,6.4,4.82,0.76,0.0
20190113:1610,0.0,0.0,0.0,3.61,0.76,0.0
20190113:1710,0.0,0.0,0.0,3.21,0.62,0.0
20190113:1810,0.0,0.0,0.0,2.57,0.55,0.0
20190113:1910,0.0,0.0,0.0,2.26,0.48,0.0
20190113:2010,0.0,0.0,0.0,1.95,0.48,0.0
20190113:2110,0.0,0.0,0.0,1.65,0.69,0.0
20190113:2210,0.0,0.0,0.0,1.24,0.76,0.0
20190113:2310,0.0,0.0,0.0,1.15,0.83,0.0
20190114:0010,0.0,0.0,0.0,0.89,0.9,0.0
20190114:0110,0.0,0.0,0.0,0.57,0.62,0.0
20190114:0210,0.0,0.0,0.0,0.17,0.55,0.0
20190114:0310,0.0,0.0,0.0,-0.13,0.41,0.0
20190114:0410,0.0,0.0,0.0,-0.53,0.48,0.0
20190114:0510,0.0,0.0,0.0,-0.26,0.48,0.0
20190114:0610,0.0,0.0,0.0,0.01,0.48,0.0
20190114:0710,200.64,239.37,5.18,1.02,0.69,0.0
20190114:0810,57.22,80.36,13.64,1.86,0.69,0.0
20190114:0910,205.92,245.87,20.4,3.08,0.48,0.0
20190114:1010,72.84,99.17,24.91,3.72,0.28,0.0
20190114:1110,526.03,623.73,26.64,4.16,0.62,0.0
20190114:1210,618.73,740.58,25.37,5.09,1.03,0.0
