,full_id,osm_id,osm_type,Area,S_coeff,W_coeff,E_coeff,Chosen_Production,Chosen_Consumption
99,w471871956,471871956,way,575.4628289224394,0.64,0.0,0.36,0.0,1.0
100,w471948184,471948184,way,10.66726584658769,0.16,0.38,0.46,1.0,0.0
101,w471948185,471948185,way,23.677423747769467,0.37,0.38,0.25,0.0,1.0
102,w471948186,471948186,way,57.05227399802514,0.45,0.44,0.11,0.0,1.0
103,w471948569,471948569,way,49.3380384175251,0.5,0.36,0.14,0.0,1.0
104,w471952171,471952171,way,142.33335139754422,0.09,0.28,0.63,1.0,1.0
105,w471955677,471955677,way,4.708990633872557,0.0999999999999999,0.7,0.2,1.0,0.0
106,w471955678,471955678,way,18.38826999678736,0.3,0.35,0.35,0.0,0.0
107,w471955680,471955680,way,7.426087899002307,0.71,0.09,0.2,0.0,0.0
108,w471955681,471955681,way,6.864296613934554,0.24,0.64,0.12,0.0,0.0
109,w471955683,471955683,way,4.333818484808377,0.42,0.56,0.02,0.0,0.0
110,w471973969,471973969,way,27.59642560384451,0.44,0.14,0.42,0.0,1.0
111,w471973971,471973971,way,7.515046243625773,0.16,0.62,0.22,1.0,0.0
112,w471973972,471973972,way,20.312477668534044,0.22,0.39,0.39,0.0,0.0
113,w471973973,471973973,way,14.90052272443041,0.03,0.02,0.95,1.0,0.0
114,w471973975,471973975,way,27.52970684537691,0.17,0.3,0.53,1.0,1.0
115,w471974874,471974874,way,11.78021209290952,0.45,0.0499999999999999,0.5,0.0,0.0
116,w471974879,471974879,way,9.55431960026586,0.37,0.27,0.36,0.0,0.0
117,w471974880,471974880,way,13.522635321295216,0.45,0.1,0.45,0.0,0.0
118,w471974886,471974886,way,19.500249304580667,0.46,0.45,0.09,0.0,0.0
119,w471978552,471978552,way,25.72733342822323,0.27,0.12,0.61,0.0,1.0
120,w471978553,471978553,way,36.2050793232218,0.48,0.37,0.15,0.0,1.0
121,w471978558,471978558,way,46.95550188326185,0.41,0.35,0.24,0.0,1.0
122,w471979883,471979883,way,35.930468781123274,0.53,0.39,0.08,0.0,1.0
123,w471979884,471979884,way,17.694975071841437,0.84,0.05,0.11,0.0,0.0
124,w471979886,471979886,way,57.37039677390689,0.46,0.29,0.25,0.0,1.0
125,w472275205,472275205,way,12.830307334877814,0.46,0.19,0.35,0.0,0.0
126,w472276948,472276948,way,39.770181677860016,0.49,0.12,0.39,0.0,1.0
127,w472394912,472394912,way,98.79597721258617,0.23,0.64,0.13,0.0,1.0
128,w472398033,472398033,way,10.186697397915276,0.32,0.09,0.59,0.0,0.0
129,w472398035,472398035,way,22.90677374054228,0.33,0.0,0.67,0.0,1.0
