Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
58,w457081003,457081003,way,2235.19,216.1291329553512,0.15,0.33,0.52
59,w457081004,457081004,way,578.89,55.975104477258405,0.48,0.24,0.28
60,w457081005,457081005,way,450.7,43.57991948021276,0.4,0.51,0.09
61,w457081006,457081006,way,215.82,20.868467322430703,0.17,0.34,0.49
62,w469487122,469487122,way,242.55,23.453094009153773,0.35,0.31,0.34
63,w469681591,469681591,way,846.75,81.87551990208598,0.45,0.49,0.06
64,w470871310,470871310,way,60.5,5.8499780975213485,0.26,0.52,0.22
65,w470871311,470871311,way,143.87,13.91134460975862,0.5,0.28,0.22
66,w470871312,470871312,way,138.76,13.41723902168698,0.21,0.17,0.62
67,w470871313,470871313,way,220.55,21.32582924641873,0.62,0.11,0.27
68,w470871806,470871806,way,281.26,27.19611305303892,0.67,0.21,0.12
69,w470871807,470871807,way,199.74,19.31363016857709,0.24,0.41,0.35
70,w470871808,470871808,way,352.62,34.096186392528566,0.29,0.35,0.36
71,w470871809,470871809,way,139.83,13.520701444238188,0.22,0.41,0.37
72,w470871810,470871810,way,211.16,20.41787396814228,0.1,0.44,0.46
73,w470871811,470871811,way,154.42,14.93146475734292,0.22,0.2,0.58
74,w470871812,470871812,way,312.37,30.204258815251965,0.62,0.32,0.06
75,w470871813,470871813,way,231.22,22.357552656345227,0.45,0.08,0.47
76,w470871814,470871814,way,171.84,16.61587167401766,0.55,0.15,0.3
77,w470871815,470871815,way,185.75,17.960883167183315,0.36,0.29,0.35
78,w470872321,470872321,way,202.97,19.62595131328774,0.42,0.28,0.3
79,w470873221,470873221,way,534.22,51.65579007037777,0.53,0.27,0.2
80,w470873223,470873223,way,216.47,20.93131832678424,0.3,0.52,0.18
81,w470873225,470873225,way,162.2,15.68374293252831,0.17,0.5,0.33
82,w470873227,470873227,way,172.31,16.66131778485791,0.51,0.35,0.14
83,w470873229,470873229,way,215.47,20.83462447393265,0.57,0.42,0.01
84,w470873231,470873231,way,156.47,15.129687155688686,0.63,0.1,0.27
85,w470873233,470873233,way,139.62,13.500395735139351,0.31,0.32,0.37
86,w470873235,470873235,way,637.15,61.608488344392185,0.25,0.32,0.43
87,w470873237,470873237,way,213.28,20.622864936187657,0.39,0.39,0.22
88,w470873239,470873239,way,212.53,20.550344546548963,0.1999999999999999,0.51,0.29
89,w470873241,470873241,way,209.14,20.222552385382063,0.08,0.26,0.66
90,w470873244,470873244,way,431.07,41.681819148736,0.57,0.03,0.4
91,w470873246,470873246,way,311.44,30.11433353209998,0.46,0.11,0.43
92,w470873248,470873248,way,68.44,6.6177272891629935,0.15,0.32,0.53
93,w470873250,470873250,way,351.64,34.001426416734,0.63,0.29,0.08
94,w470873253,470873253,way,93.57,9.047643811323514,0.49,0.51,0.0
95,w470873255,470873255,way,247.44,23.925926949598058,0.6,0.12,0.28
96,w470873257,470873257,way,168.19,16.26293911110935,0.16,0.51,0.33
97,w470873259,470873259,way,296.28,28.64845472286984,0.61,0.05,0.34
98,w470873379,470873379,way,218.47,21.124706032487424,0.37,0.37,0.26
99,w470873566,470873566,way,296.88,28.7064710345808,0.05,0.48,0.47
100,w470873567,470873567,way,328.13,31.72815393619306,0.75,0.09,0.16
101,w470873568,470873568,way,370.67,35.84151043649981,0.63,0.2299999999999999,0.14
