Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
256,w1083279096,1083279096,way,940.41,99.09570375,0.75,0.07,0.18
257,w1083279097,1083279097,way,119.91,12.635516249999998,0.55,0.12,0.33
258,w1083279098,1083279098,way,161.7,17.0391375,0.17,0.73,0.1
259,w1083279099,1083279099,way,235,24.763125,0.48,0.52,0.0
260,w1083279100,1083279100,way,107.35,11.31200625,0.23,0.15,0.62
261,w1083279101,1083279101,way,86.57,9.122313749999998,0.35,0.5,0.15
262,w1083279102,1083279102,way,107.64,11.342565,0.03,0.34,0.63
263,w1190124851,1190124851,way,314.78,33.1699425,0.47,0.22,0.31
264,w1190124852,1190124852,way,1100.34,115.9483275,0.75,0.24,0.01
265,w1207656377,1207656377,way,158.42,16.6935075,0.46,0.27,0.27
266,w469491620,469491620,way,206.15,21.72305625,0.48,0.14,0.38
267,w476753360,476753360,way,1116.87,117.69017624999998,0.04,0.1,0.86
268,w535351168,535351168,way,88.32,9.30672,0.04,0.85,0.11
269,w543183760,543183760,way,2100.67,221.35810125,0.19,0.39,0.42
270,w543184811,543184811,way,1215.63,128.09701125,0.36,0.16,0.48
