datetime,date,hour,SUD [Eur/MWh],SUD [Eur/Wh]
2019-01-08 17:00:00,20190108,18,82,"0,000008177"
2019-01-08 18:00:00,20190108,19,79,"0,000007852"
2019-01-08 19:00:00,20190108,20,78,"0,0000078"
2019-01-08 20:00:00,20190108,21,72,"0,000007156"
2019-01-08 21:00:00,20190108,22,66,"0,000006585"
2019-01-08 22:00:00,20190108,23,64,"0,000006399"
2019-01-08 23:00:00,20190108,24,61,"0,0000061"
2019-01-09 00:00:00,20190109,1,63,"0,000006250557"
2019-01-09 01:00:00,20190109,2,62,"0,00000615"
2019-01-09 02:00:00,20190109,3,61,"0,000006055"
2019-01-09 03:00:00,20190109,4,61,"0,000006149"
2019-01-09 04:00:00,20190109,5,62,"0,000006166"
2019-01-09 05:00:00,20190109,6,63,"0,00000627"
2019-01-09 06:00:00,20190109,7,66,"0,000006599"
2019-01-09 07:00:00,20190109,8,73,"0,000007291"
2019-01-09 08:00:00,20190109,9,78,"0,000007796"
2019-01-09 09:00:00,20190109,10,78,"0,000007796"
2019-01-09 10:00:00,20190109,11,71,"0,0000071"
2019-01-09 11:00:00,20190109,12,65,"0,0000065"
2019-01-09 12:00:00,20190109,13,66,"0,000006588"
2019-01-09 13:00:00,20190109,14,65,"0,000006499"
2019-01-09 14:00:00,20190109,15,66,"0,000006589"
2019-01-09 15:00:00,20190109,16,70,"0,000006988"
2019-01-09 16:00:00,20190109,17,78,"0,000007796"
2019-01-09 17:00:00,20190109,18,81,"0,000008103"
2019-01-09 18:00:00,20190109,19,81,"0,000008103"
2019-01-09 19:00:00,20190109,20,79,"0,000007852"
2019-01-09 20:00:00,20190109,21,72,"0,0000072"
2019-01-09 21:00:00,20190109,22,67,"0,000006663"
2019-01-09 22:00:00,20190109,23,64,"0,000006412"
2019-01-09 23:00:00,20190109,24,62,"0,000006166"
2019-01-10 00:00:00,20190110,1,61,"0,000006099"
2019-01-10 01:00:00,20190110,2,59,"0,000005859"
2019-01-10 02:00:00,20190110,3,56,"0,000005588"
2019-01-10 03:00:00,20190110,4,54,"0,000005355"
2019-01-10 04:00:00,20190110,5,55,"0,000005498"
2019-01-10 05:00:00,20190110,6,56,"0,000005563"
2019-01-10 06:00:00,20190110,7,64,"0,000006399"
2019-01-10 07:00:00,20190110,8,71,"0,000007085"
2019-01-10 08:00:00,20190110,9,78,"0,000007796"
