Time,Hourly Residential Production (€),Hourly Industrial Production (€),Hourly Commercial Production (€),Total Production (€),CER (€),TIP,E_shared,Total Production (Wh),Total Consumption (Wh),Net Cost Without Production (€),Net Cost With Production (€),Net Cost With CER (€)
2019-10-22 22:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,19167.989999999998,0.8433915599999999,0.8433915599999999,0.8433915599999999
2019-10-22 23:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,16904.6,0.7268977999999999,0.7268977999999999,0.7268977999999999
2019-10-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14922.92,0.68645432,0.68645432,0.68645432
2019-10-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13874.640000000001,0.6243588000000001,0.6243588000000001,0.6243588000000001
2019-10-23 02:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13443.689999999999,0.55119129,0.55119129,0.55119129
2019-10-23 03:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13290.8,0.5183412,0.5183412,0.5183412
2019-10-23 04:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,13445.09,0.52435851,0.52435851,0.52435851
2019-10-23 05:00:00,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,14024.17,0.58901514,0.58901514,0.58901514
2019-10-23 06:00:00,0.23663141739999993,0.0041916266,0.019079090799999997,0.2599021347999999,0.6364950239999998,0.00012,5304.125199999999,5304.125199999999,16364.54,0.80186246,0.5419603252000001,-0.09453469879999965
2019-10-23 07:00:00,0.7163728186999999,0.0124938858,0.05649050790000001,0.7853572123999999,1.544965008,0.00012,12874.7084,12874.7084,20056.52,1.22344772,0.43809050760000007,-1.1068745003999998
2019-10-23 08:00:00,1.1082404541,0.0196416664,0.08986094269999999,1.2177430632,2.1810323519999995,0.00012,18175.269599999996,18175.269599999996,24176.09,1.61979803,0.4020549668000003,-1.7789773851999993
2019-10-23 09:00:00,1.4578681518999996,0.0275186006,0.1281438163,1.6135305687999997,3.1741584959999996,0.00012,26451.320799999994,26451.320799999994,28744.12,1.75339132,0.1398607512000003,-3.034297744799999
2019-10-23 10:00:00,1.6570132793999999,0.0325653696,0.15233635980000002,1.8419150087999998,3.8277084,0.00012,31897.57,34109.5372,31897.57,1.7224687799999998,-0.11944622879999994,-3.9471546288
2019-10-23 11:00:00,1.6459858473,0.033412048199999995,0.1578255741,1.8372234696,4.0080492,0.00012,33400.41,36023.9896,33400.41,1.7034209100000002,-0.13380255959999987,-4.1418517596
