full_id,osm_id,osm_type,Area
w472398329,472398329,way,"193,01"
w472410490,472410490,way,"667,63"
w472410803,472410803,way,"519,64"
w472411270,472411270,way,"574,22"
w472420795,472420795,way,"342,03"
w472420796,472420796,way,"143,28"
w472420798,472420798,way,"236,58"
w472420799,472420799,way,"120,89"
w472420800,472420800,way,"152,97"
w472420802,472420802,way,"295,54"
w472420803,472420803,way,"132,24"
w472420804,472420804,way,"261,83"
w472420805,472420805,way,"145,84"
w472421176,472421176,way,"254,29"
w472421177,472421177,way,"156,13"
w472421178,472421178,way,"248,74"
w472421179,472421179,way,"498,48"
w472425844,472425844,way,"176,62"
w472425845,472425845,way,"195,48"
w472425846,472425846,way,54
w472427812,472427812,way,"2993,93"
w472599969,472599969,way,"287,41"
w473438841,473438841,way,"424,44"
w473438842,473438842,way,"173,3"
w473446197,473446197,way,"202,25"
w473446199,473446199,way,"201,29"
w473446201,473446201,way,"526,42"
w473446203,473446203,way,"249,99"
w473446205,473446205,way,"191,26"
w473446208,473446208,way,"120,41"
w473446210,473446210,way,"276,01"
w473446212,473446212,way,"671,69"
w473446214,473446214,way,"637,48"
w473446967,473446967,way,"148,28"
w473446968,473446968,way,"262,71"
w473446969,473446969,way,"190,5"
w473446970,473446970,way,"238,94"
w473446971,473446971,way,"204,4"
w473446972,473446972,way,"122,02"
w473446973,473446973,way,"104,92"
w473446974,473446974,way,"281,76"
w473446975,473446975,way,"325,53"
w473446976,473446976,way,"301,63"
w473446977,473446977,way,"129,57"
w473446978,473446978,way,"632,67"
w473446979,473446979,way,"497,52"
w473446980,473446980,way,"363,78"
w473446981,473446981,way,"259,17"
w473446982,473446982,way,"398,06"
w473450643,473450643,way,"443,98"
w473450644,473450644,way,"618,51"
w473450645,473450645,way,"100,87"
w473450646,473450646,way,"807,74"
w473450647,473450647,way,"230,7"
w473450648,473450648,way,"218,87"
w473450649,473450649,way,"297,05"
w473450652,473450652,way,"48,81"
w473450653,473450653,way,"253,42"
w473452470,473452470,way,"126,3"
w473452471,473452471,way,"127,69"
w473452472,473452472,way,"135,56"
w473452473,473452473,way,"104,86"
w473452474,473452474,way,"155,87"
w473452475,473452475,way,"492,83"
w473452476,473452476,way,"350,58"
w473452477,473452477,way,"579,78"
w473452478,473452478,way,"444,73"
w473452479,473452479,way,"845,61"
w473452481,473452481,way,"506,66"
w473452482,473452482,way,"238,05"
w473452484,473452484,way,"83,13"
w473452485,473452485,way,"314,69"
w473452486,473452486,way,"170,47"
w473452487,473452487,way,"131,42"
w473452490,473452490,way,"100,13"
w473453431,473453431,way,397
w473454168,473454168,way,"844,74"
w473454169,473454169,way,"973,44"
w473454170,473454170,way,"1059,36"
w473457215,473457215,way,"269,77"
w474613056,474613056,way,"954,65"
w474613057,474613057,way,"207,01"
w474613993,474613993,way,"434,33"
w474613994,474613994,way,"431,61"
w474904367,474904367,way,"67,92"
w475448882,475448882,way,"94,44"
w475616869,475616869,way,"637,34"
w475952844,475952844,way,"432,56"
w475952845,475952845,way,"144,04"
w475952847,475952847,way,"587,8"
w475952848,475952848,way,"417,71"
w475952849,475952849,way,"445,46"
w475952850,475952850,way,"204,67"
w475952851,475952851,way,"610,4"
w475952853,475952853,way,"267,83"
w475952854,475952854,way,"474,3"
w475954104,475954104,way,"879,16"
w475954106,475954106,way,"274,46"
w475954107,475954107,way,"554,08"
w475954109,475954109,way,"253,59"
w475954110,475954110,way,"158,5"
w475954111,475954111,way,"179,5"
w475954112,475954112,way,"1015,05"
w475954113,475954113,way,"453,37"
w475955277,475955277,way,"796,07"
w475955278,475955278,way,"859,32"
w475955279,475955279,way,"320,27"
w475955280,475955280,way,"191,44"
w475955281,475955281,way,"245,83"
w475955282,475955282,way,"1164,31"
w475955283,475955283,way,"226,61"
w475956672,475956672,way,"216,05"
w475956674,475956674,way,"188,84"
w475956675,475956675,way,"193,44"
w475956676,475956676,way,"264,41"
w475956677,475956677,way,"172,43"
w475956916,475956916,way,"297,27"
w475956917,475956917,way,"283,09"
w475956918,475956918,way,"343,15"
w475957211,475957211,way,"1193,7"
w475957245,475957245,way,"728,71"
w475958563,475958563,way,"285,46"
w475958564,475958564,way,"177,15"
w475958565,475958565,way,"23,93"
w475958566,475958566,way,"213,15"
w475958567,475958567,way,"112,9"
w475958568,475958568,way,"252,3"
w475958569,475958569,way,"29,64"
w475958784,475958784,way,"645,17"
w475958785,475958785,way,"458,45"
w475958786,475958786,way,"987,71"
w475958787,475958787,way,"382,5"
w475959192,475959192,way,"516,32"
w475959194,475959194,way,"164,96"
w475959196,475959196,way,"366,31"
w475959199,475959199,way,"146,75"
w475959201,475959201,way,"128,98"
