time,G(i)_East,G(i)_South,G(i)_West,Tot_Production [W/m2]
20190108:2110,0.0,0.0,0.0,0.0
20190108:2210,0.0,0.0,0.0,0.0
20190108:2310,0.0,0.0,0.0,0.0
20190109:0010,0.0,0.0,0.0,0.0
20190109:0110,0.0,0.0,0.0,0.0
20190109:0210,0.0,0.0,0.0,0.0
20190109:0310,0.0,0.0,0.0,0.0
20190109:0410,0.0,0.0,0.0,0.0
20190109:0510,0.0,0.0,0.0,0.0
20190109:0610,0.0,0.0,0.0,0.0
20190109:0710,46.1,70.62,28.25,53.8975
20190109:0810,98.39,101.84,82.92,96.2475
20190109:0910,121.93,115.83,114.08,116.91749999999999
20190109:1010,158.57,150.85,149.73,152.5
20190109:1110,136.33,125.81,130.11,129.51500000000001
20190109:1210,69.66,64.28,66.48,66.175
20190109:1310,69.66,64.28,66.48,66.175
20190109:1410,120.86,172.65,172.76,159.73000000000002
20190109:1510,36.66,31.84,33.72,33.515
20190109:1610,0.0,0.0,0.0,0.0
20190109:1710,0.0,0.0,0.0,0.0
20190109:1810,0.0,0.0,0.0,0.0
20190109:1910,0.0,0.0,0.0,0.0
20190109:2010,0.0,0.0,0.0,0.0
20190109:2110,0.0,0.0,0.0,0.0
20190109:2210,0.0,0.0,0.0,0.0
20190109:2310,0.0,0.0,0.0,0.0
20190110:0010,0.0,0.0,0.0,0.0
20190110:0110,0.0,0.0,0.0,0.0
20190110:0210,0.0,0.0,0.0,0.0
20190110:0310,0.0,0.0,0.0,0.0
20190110:0410,0.0,0.0,0.0,0.0
20190110:0510,0.0,0.0,0.0,0.0
20190110:0610,0.0,0.0,0.0,0.0
20190110:0710,57.16,99.15,29.16,71.155
20190110:0810,121.04,140.85,92.03,123.6925
20190110:0910,119.68,112.07,113.07,114.2225
20190110:1010,171.75,166.09,161.2,166.2825
20190110:1110,194.06,191.08,184.66,190.22000000000003
20190110:1210,237.45,279.11,242.27,259.485
20190110:1310,218.79,322.03,278.45,285.325
20190110:1410,142.39,413.78,401.81,342.94
20190110:1510,36.66,140.88,187.32,126.435
20190110:1610,0.0,0.0,0.0,0.0
20190110:1710,0.0,0.0,0.0,0.0
20190110:1810,0.0,0.0,0.0,0.0
20190110:1910,0.0,0.0,0.0,0.0
20190110:2010,0.0,0.0,0.0,0.0
20190110:2110,0.0,0.0,0.0,0.0
20190110:2210,0.0,0.0,0.0,0.0
20190110:2310,0.0,0.0,0.0,0.0
20190111:0010,0.0,0.0,0.0,0.0
20190111:0110,0.0,0.0,0.0,0.0
20190111:0210,0.0,0.0,0.0,0.0
20190111:0310,0.0,0.0,0.0,0.0
20190111:0410,0.0,0.0,0.0,0.0
20190111:0510,0.0,0.0,0.0,0.0
20190111:0610,0.0,0.0,0.0,0.0
20190111:0710,47.96,71.82,30.07,55.4175
20190111:0810,302.96,604.71,44.65,389.2575
20190111:0910,332.34,563.1,137.03,398.89250000000004
20190111:1010,397.18,685.53,262.62,507.715
20190111:1110,294.79,384.42,276.29,334.98
20190111:1210,189.93,190.8,185.28,189.20250000000001
20190111:1310,166.72,176.72,172.36,173.13
20190111:1410,56.72,52.34,54.13,53.8825
20190111:1510,40.62,88.54,111.39,82.27250000000001
20190111:1610,0.0,0.0,0.0,0.0
20190111:1710,0.0,0.0,0.0,0.0
20190111:1810,0.0,0.0,0.0,0.0
20190111:1910,0.0,0.0,0.0,0.0
20190111:2010,0.0,0.0,0.0,0.0
20190111:2110,0.0,0.0,0.0,0.0
20190111:2210,0.0,0.0,0.0,0.0
20190111:2310,0.0,0.0,0.0,0.0
20190112:0010,0.0,0.0,0.0,0.0
20190112:0110,0.0,0.0,0.0,0.0
20190112:0210,0.0,0.0,0.0,0.0
20190112:0310,0.0,0.0,0.0,0.0
20190112:0410,0.0,0.0,0.0,0.0
20190112:0510,0.0,0.0,0.0,0.0
20190112:0610,0.0,0.0,0.0,0.0
20190112:0710,115.75,264.49,21.87,166.65
20190112:0810,276.68,529.1,62.87,349.4375
20190112:0910,396.47,742.58,106.38,497.00250000000005
20190112:1010,450.92,845.63,267.22,602.35
20190112:1110,441.22,841.37,394.52,629.62
20190112:1210,389.02,795.89,480.62,615.355
20190112:1310,284.86,661.74,502.23,527.6425
20190112:1410,146.71,423.84,411.98,351.5925
20190112:1510,28.73,210.75,288.95,184.79500000000002
20190112:1610,0.0,0.0,0.0,0.0
20190112:1710,0.0,0.0,0.0,0.0
20190112:1810,0.0,0.0,0.0,0.0
20190112:1910,0.0,0.0,0.0,0.0
20190112:2010,0.0,0.0,0.0,0.0
20190112:2110,0.0,0.0,0.0,0.0
20190112:2210,0.0,0.0,0.0,0.0
20190112:2310,0.0,0.0,0.0,0.0
20190113:0010,0.0,0.0,0.0,0.0
20190113:0110,0.0,0.0,0.0,0.0
20190113:0210,0.0,0.0,0.0,0.0
20190113:0310,0.0,0.0,0.0,0.0
20190113:0410,0.0,0.0,0.0,0.0
20190113:0510,0.0,0.0,0.0,0.0
20190113:0610,0.0,0.0,0.0,0.0
20190113:0710,19.9,18.37,18.22,18.715
20190113:0810,177.53,262.77,97.5,200.14249999999998
20190113:0910,286.85,435.39,153.18,327.7025
20190113:1010,433.02,787.78,266.22,568.7
20190113:1110,387.8,658.09,353.54,514.38
20190113:1210,375.2,733.84,455.29,574.5425
20190113:1310,283.45,638.44,488.07,512.1
20190113:1410,151.04,481.99,467.88,395.725
20190113:1510,24.77,237.05,327.37,206.56
20190113:1610,0.0,0.0,0.0,0.0
20190113:1710,0.0,0.0,0.0,0.0
20190113:1810,0.0,0.0,0.0,0.0
20190113:1910,0.0,0.0,0.0,0.0
20190113:2010,0.0,0.0,0.0,0.0
20190113:2110,0.0,0.0,0.0,0.0
20190113:2210,0.0,0.0,0.0,0.0
20190113:2310,0.0,0.0,0.0,0.0
20190114:0010,0.0,0.0,0.0,0.0
20190114:0110,0.0,0.0,0.0,0.0
20190114:0210,0.0,0.0,0.0,0.0
20190114:0310,0.0,0.0,0.0,0.0
20190114:0410,0.0,0.0,0.0,0.0
20190114:0510,0.0,0.0,0.0,0.0
20190114:0610,0.0,0.0,0.0,0.0
20190114:0710,108.96,239.37,25.51,153.3025
20190114:0810,82.69,80.36,72.9,79.0775
20190114:0910,207.1,245.87,158.85,214.4225
20190114:1010,107.47,99.17,102.57,102.095
20190114:1110,378.94,623.73,346.24,493.16
20190114:1210,378.99,740.58,459.14,579.8225
20190114:1310,136.58,130.94,133.18,132.91
20190114:1410,154.19,495.49,481.35,406.63
20190114:1510,24.77,238.2,328.98,207.5375
20190114:1610,0.0,0.0,0.0,0.0
20190114:1710,0.0,0.0,0.0,0.0
20190114:1810,0.0,0.0,0.0,0.0
20190114:1910,0.0,0.0,0.0,0.0
20190114:2010,0.0,0.0,0.0,0.0
20190114:2110,0.0,0.0,0.0,0.0
20190114:2210,0.0,0.0,0.0,0.0
20190114:2310,0.0,0.0,0.0,0.0
20190115:0010,0.0,0.0,0.0,0.0
20190115:0110,0.0,0.0,0.0,0.0
20190115:0210,0.0,0.0,0.0,0.0
20190115:0310,0.0,0.0,0.0,0.0
20190115:0410,0.0,0.0,0.0,0.0
20190115:0510,0.0,0.0,0.0,0.0
20190115:0610,0.0,0.0,0.0,0.0
20190115:0710,133.4,305.27,20.05,190.9975
20190115:0810,303.76,589.18,51.03,383.28749999999997
20190115:0910,421.39,792.84,102.36,527.3575000000001
20190115:1010,475.87,894.41,274.98,634.9175
20190115:1110,477.49,929.73,419.98,689.2325000000001
20190115:1210,413.99,856.58,511.15,659.575
20190115:1310,304.5,717.16,542.0,570.2049999999999
20190115:1410,159.27,507.18,493.26,416.72249999999997
20190115:1510,25.76,250.82,346.68,218.51999999999998
20190115:1610,0.0,0.0,0.0,0.0
20190115:1710,0.0,0.0,0.0,0.0
20190115:1810,0.0,0.0,0.0,0.0
20190115:1910,0.0,0.0,0.0,0.0
20190115:2010,0.0,0.0,0.0,0.0
20190115:2110,0.0,0.0,0.0,0.0
20190115:2210,0.0,0.0,0.0,0.0
20190115:2310,0.0,0.0,0.0,0.0
20190116:0010,0.0,0.0,0.0,0.0
20190116:0110,0.0,0.0,0.0,0.0
20190116:0210,0.0,0.0,0.0,0.0
20190116:0310,0.0,0.0,0.0,0.0
20190116:0410,0.0,0.0,0.0,0.0
20190116:0510,0.0,0.0,0.0,0.0
20190116:0610,0.0,0.0,0.0,0.0
20190116:0710,118.65,261.58,24.6,166.6025
20190116:0810,209.81,336.13,94.77,244.20999999999998
20190116:0910,415.65,774.55,104.95,517.425
20190116:1010,475.99,891.76,274.34,633.4625
20190116:1110,475.7,920.22,417.85,683.4975
20190116:1210,403.06,811.1,492.18,629.36
20190116:1310,303.49,703.7,533.8,561.1725
20190116:1410,160.62,482.69,470.39,399.09749999999997
20190116:1510,31.7,229.46,314.75,201.3425
20190116:1610,0.0,0.0,0.0,0.0
20190116:1710,0.0,0.0,0.0,0.0
20190116:1810,0.0,0.0,0.0,0.0
20190116:1910,0.0,0.0,0.0,0.0
20190116:2010,0.0,0.0,0.0,0.0
20190116:2110,0.0,0.0,0.0,0.0
20190116:2210,0.0,0.0,0.0,0.0
20190116:2310,0.0,0.0,0.0,0.0
20190117:0010,0.0,0.0,0.0,0.0
20190117:0110,0.0,0.0,0.0,0.0
20190117:0210,0.0,0.0,0.0,0.0
20190117:0310,0.0,0.0,0.0,0.0
20190117:0410,0.0,0.0,0.0,0.0
20190117:0510,0.0,0.0,0.0,0.0
20190117:0610,0.0,0.0,0.0,0.0
20190117:0710,42.47,55.45,30.07,45.86
20190117:0810,105.83,109.85,88.39,103.47999999999999
20190117:0910,185.12,200.42,155.23,185.2975
20190117:1010,120.41,111.11,114.91,114.38499999999999
20190117:1110,159.22,148.28,151.87,151.91250000000002
20190117:1210,89.56,82.65,85.47,85.08250000000001
20190117:1310,95.53,88.16,91.17,90.755
20190117:1410,114.49,122.05,124.78,120.8425
20190117:1510,43.59,50.42,56.06,50.1225
20190117:1610,0.0,0.0,0.0,0.0
20190117:1710,0.0,0.0,0.0,0.0
20190117:1810,0.0,0.0,0.0,0.0
20190117:1910,0.0,0.0,0.0,0.0
20190117:2010,0.0,0.0,0.0,0.0
20190117:2110,0.0,0.0,0.0,0.0
20190117:2210,0.0,0.0,0.0,0.0
20190117:2310,0.0,0.0,0.0,0.0
20190118:0010,0.0,0.0,0.0,0.0
20190118:0110,0.0,0.0,0.0,0.0
20190118:0210,0.0,0.0,0.0,0.0
20190118:0310,0.0,0.0,0.0,0.0
20190118:0410,0.0,0.0,0.0,0.0
20190118:0510,0.0,0.0,0.0,0.0
20190118:0610,0.0,0.0,0.0,0.0
20190118:0710,59.75,95.54,32.8,70.9075
20190118:0810,155.8,203.82,101.15,166.1475
20190118:0910,112.45,103.77,107.32,106.82749999999999
20190118:1010,77.62,71.63,74.08,73.74
20190118:1110,171.17,160.67,163.18,163.9225
20190118:1210,52.74,48.67,50.33,50.1025
20190118:1310,50.75,46.83,48.43,48.21
20190118:1410,49.76,45.91,47.49,47.2675
20190118:1510,47.58,90.08,110.21,84.4875
20190118:1610,0.0,0.0,0.0,0.0
20190118:1710,0.0,0.0,0.0,0.0
20190118:1810,0.0,0.0,0.0,0.0
20190118:1910,0.0,0.0,0.0,0.0
20190118:2010,0.0,0.0,0.0,0.0
20190118:2110,0.0,0.0,0.0,0.0
20190118:2210,0.0,0.0,0.0,0.0
20190118:2310,0.0,0.0,0.0,0.0
20190119:0010,0.0,0.0,0.0,0.0
20190119:0110,0.0,0.0,0.0,0.0
20190119:0210,0.0,0.0,0.0,0.0
20190119:0310,0.0,0.0,0.0,0.0
20190119:0410,0.0,0.0,0.0,0.0
20190119:0510,0.0,0.0,0.0,0.0
20190119:0610,0.0,0.0,0.0,0.0
20190119:0710,32.21,33.52,27.34,31.6475
20190119:0810,73.64,67.95,67.43,69.2425
20190119:0910,127.63,119.29,120.69,121.725
20190119:1010,200.35,200.68,185.13,196.71
20190119:1110,309.1,396.01,288.14,347.315
20190119:1210,351.66,582.62,399.65,479.1375
20190119:1310,99.51,91.83,94.97,94.535
20190119:1410,77.62,71.63,74.08,73.74
20190119:1510,40.65,40.78,43.41,41.405
20190119:1610,0.0,0.0,0.0,0.0
