time,Residential,Industrial,Commercial
20190111:0410,1.1338,4.8858,7.5062
20190111:0510,1.2124,5.104,8.0265
20190111:0610,1.4255,5.9609,9.4379
20190111:0710,1.8074,7.4459,11.9665
20190111:0810,2.1833,10.6096,14.455
20190111:0910,2.5938,12.3718,17.1724
20190111:1010,2.8445,12.8435,18.8326
20190111:1110,2.9465,12.7803,19.5079
20190111:1210,2.9364,11.919,19.4408
20190111:1310,2.8417,11.2693,18.8136
20190111:1410,2.8116,11.5497,18.6146
20190111:1510,2.6692,11.1817,17.6717
20190111:1610,2.5798,10.8167,17.0796
20190111:1710,2.5462,9.402,16.8577
20190111:1810,2.4909,8.0536,16.4915
20190111:1910,2.3002,6.9818,15.2291
20190111:2010,2.0229,5.7793,13.3929
20190111:2110,1.7721,5.0474,11.7326
20190111:2210,1.6027,4.5572,10.6111
20190111:2310,1.443,4.3711,9.5533
20190112:0010,1.2781,4.384,8.4617
20190112:0110,1.1642,4.4099,7.7079
20190112:0210,1.1177,4.5874,7.3998
20190112:0310,1.1086,4.5332,7.3399
20190112:0410,1.1206,4.5042,7.419
20190112:0510,1.1618,4.8426,7.692
20190112:0610,1.2796,5.1795,8.4716
20190112:0710,1.4896,5.8035,9.8619
20190112:0810,1.6487,6.436,10.9155
20190112:0910,1.8624,7.0456,12.3301
20190112:1010,2.0813,7.0921,13.7798
20190112:1110,2.1789,7.1366,14.4259
20190112:1210,2.1682,6.7417,14.3547
20190112:1310,2.0693,6.2767,13.7004
20190112:1410,2.0077,6.011,13.2926
20190112:1510,1.9168,5.804,12.6907
20190112:1610,1.8492,5.6596,12.2428
20190112:1710,1.888,5.5535,12.5
20190112:1810,1.9938,5.6098,13.2002
20190112:1910,1.9634,5.3195,12.9988
20190112:2010,1.8242,4.8803,12.0774
20190112:2110,1.6889,4.5919,11.1817
20190112:2210,1.595,4.308,10.5598
20190112:2310,1.4519,4.164,9.6128
20190113:0010,1.296,4.11,8.5802
20190113:0110,1.1822,4.0151,7.827
20190113:0210,1.1237,4.037,7.44
20190113:0310,1.1015,3.9708,7.2926
20190113:0410,1.1077,3.9934,7.3339
20190113:0510,1.1324,4.2564,7.497
20190113:0610,1.2117,4.42,8.022
20190113:0710,1.3198,4.727,8.738
20190113:0810,1.4248,4.9513,9.433
20190113:0910,1.5402,5.3154,10.1973
20190113:1010,1.7307,5.486,11.4586
20190113:1110,1.8337,5.5653,12.14
20190113:1210,1.8429,5.5308,12.2015
20190113:1310,1.7823,5.3106,11.8002
20190113:1410,1.7486,5.2126,11.5767
20190113:1510,1.7039,5.111,11.2809
20190113:1610,1.6462,5.0952,10.899
20190113:1710,1.6912,5.1218,11.1971
20190113:1810,1.7709,5.1315,11.7247
20190113:1910,1.757,4.9729,11.6323
20190113:2010,1.633,4.7604,10.8118
20190113:2110,1.5185,4.5372,10.0534
