time,P,G(i),H_sun,T2m,WS10m,Int
20190107:0510,0.0,0.0,0.0,-1.01,1.03,0.0
20190107:0610,0.0,0.0,0.0,-0.98,1.1,0.0
20190107:0710,43.35,73.34,4.78,-1.71,1.17,0.0
20190107:0810,148.41,187.69,13.09,-0.42,1.03,0.0
20190107:0910,266.12,320.32,19.69,1.62,1.1,0.0
20190107:1010,319.28,377.9,24.01,1.04,1.31,0.0
20190107:1110,309.62,370.04,25.58,2.73,1.38,0.0
20190107:1210,274.57,334.33,24.2,2.44,1.38,0.0
20190107:1310,182.97,233.81,20.04,2.18,1.38,0.0
20190107:1410,88.09,124.84,13.58,1.69,1.17,0.0
20190107:1510,18.98,34.67,5.37,1.05,0.9,0.0
20190107:1610,0.0,0.0,0.0,1.43,0.83,0.0
20190107:1710,0.0,0.0,0.0,0.53,0.9,0.0
20190107:1810,0.0,0.0,0.0,-0.25,0.9,0.0
20190107:1910,0.0,0.0,0.0,0.67,0.9,0.0
20190107:2010,0.0,0.0,0.0,0.25,0.83,0.0
20190107:2110,0.0,0.0,0.0,-0.01,0.69,0.0
20190107:2210,0.0,0.0,0.0,-0.3,0.76,0.0
20190107:2310,0.0,0.0,0.0,-0.48,0.83,0.0
20190108:0010,0.0,0.0,0.0,-0.67,0.76,0.0
20190108:0110,0.0,0.0,0.0,-1.06,0.69,0.0
20190108:0210,0.0,0.0,0.0,-1.25,0.55,0.0
20190108:0310,0.0,0.0,0.0,-1.48,0.48,0.0
20190108:0410,0.0,0.0,0.0,-1.61,0.41,0.0
20190108:0510,0.0,0.0,0.0,-1.55,0.34,0.0
20190108:0610,0.0,0.0,0.0,-1.31,0.34,0.0
20190108:0710,24.74,45.15,4.82,-0.3,0.55,0.0
20190108:0810,109.57,142.16,13.15,0.78,0.62,0.0
20190108:0910,154.67,191.48,19.77,2.43,0.83,0.0
20190108:1010,314.2,372.23,24.12,1.22,1.24,0.0
20190108:1110,197.86,239.85,25.71,3.47,1.66,0.0
20190108:1210,183.42,224.17,24.35,3.25,1.72,0.0
20190108:1310,93.99,122.87,20.2,2.72,1.38,0.0
20190108:1410,24.42,41.79,13.74,2.62,1.45,0.0
20190108:1510,6.7,17.83,5.53,2.2,1.03,0.0
20190108:1610,0.0,0.0,0.0,1.63,1.03,0.0
20190108:1710,0.0,0.0,0.0,1.93,0.97,0.0
20190108:1810,0.0,0.0,0.0,1.96,0.9,0.0
20190108:1910,0.0,0.0,0.0,2.58,0.62,0.0
20190108:2010,0.0,0.0,0.0,2.61,0.62,0.0
20190108:2110,0.0,0.0,0.0,2.45,0.69,0.0
20190108:2210,0.0,0.0,0.0,2.5,0.55,0.0
20190108:2310,0.0,0.0,0.0,2.32,0.69,0.0
20190109:0010,0.0,0.0,0.0,2.45,0.55,0.0
20190109:0110,0.0,0.0,0.0,2.47,0.48,0.0
20190109:0210,0.0,0.0,0.0,2.39,0.62,0.0
20190109:0310,0.0,0.0,0.0,2.23,0.62,0.0
20190109:0410,0.0,0.0,0.0,1.76,0.76,0.0
20190109:0510,0.0,0.0,0.0,1.34,0.83,0.0
20190109:0610,0.0,0.0,0.0,0.78,0.97,0.0
20190109:0710,25.39,46.1,4.86,0.98,1.03,0.0
20190109:0810,72.52,98.39,13.21,1.13,1.24,0.0
20190109:0910,93.43,121.93,19.86,2.64,1.93,0.0
20190109:1010,126.14,158.57,24.23,2.92,1.93,0.0
20190109:1110,106.12,136.33,25.85,3.04,1.72,0.0
20190109:1210,47.25,69.66,24.5,4.0,1.72,0.0
20190109:1310,47.27,69.66,20.37,3.88,1.59,0.0
20190109:1410,87.53,120.86,13.91,2.23,1.59,0.0
20190109:1510,20.47,36.66,5.69,1.57,1.24,0.0
20190109:1610,0.0,0.0,0.0,0.73,1.1,0.0
20190109:1710,0.0,0.0,0.0,0.3,1.17,0.0
20190109:1810,0.0,0.0,0.0,-0.64,1.31,0.0
20190109:1910,0.0,0.0,0.0,-1.55,1.31,0.0
20190109:2010,0.0,0.0,0.0,-2.0,1.38,0.0
20190109:2110,0.0,0.0,0.0,-2.34,1.38,0.0
20190109:2210,0.0,0.0,0.0,-3.24,1.66,0.0
20190109:2310,0.0,0.0,0.0,-2.14,1.31,0.0
20190110:0010,0.0,0.0,0.0,-2.15,1.31,0.0
20190110:0110,0.0,0.0,0.0,-2.52,1.38,0.0
20190110:0210,0.0,0.0,0.0,-3.37,1.52,0.0
20190110:0310,0.0,0.0,0.0,-3.26,1.45,0.0
20190110:0410,0.0,0.0,0.0,-3.47,1.52,0.0
20190110:0510,0.0,0.0,0.0,-3.48,1.52,0.0
20190110:0610,0.0,0.0,0.0,-3.55,1.52,0.0
20190110:0710,33.62,57.16,4.91,-4.57,2.0,0.0
20190110:0810,94.03,121.04,13.28,-3.48,1.79,0.0
20190110:0910,93.54,119.68,19.95,-2.12,2.0,0.0
20190110:1010,139.8,171.75,24.35,0.16,2.07,0.0
20190110:1110,159.62,194.06,25.99,0.72,2.0,0.0
20190110:1210,197.46,237.45,24.66,0.76,1.79,0.0
20190110:1310,175.8,218.79,20.54,0.79,1.72,0.0
20190110:1410,86.9,142.39,14.08,0.5,1.66,0.0
20190110:1510,20.69,36.66,5.86,-0.49,1.38,0.0
20190110:1610,0.0,0.0,0.0,-1.6,1.17,0.0
20190110:1710,0.0,0.0,0.0,-1.37,1.24,0.0
20190110:1810,0.0,0.0,0.0,-1.24,1.17,0.0
20190110:1910,0.0,0.0,0.0,-1.55,1.31,0.0
20190110:2010,0.0,0.0,0.0,-0.74,1.17,0.0
20190110:2110,0.0,0.0,0.0,-0.83,1.17,0.0
20190110:2210,0.0,0.0,0.0,-1.02,1.24,0.0
20190110:2310,0.0,0.0,0.0,-1.21,1.17,0.0
20190111:0010,0.0,0.0,0.0,-1.32,1.24,0.0
20190111:0110,0.0,0.0,0.0,-1.58,1.17,0.0
20190111:0210,0.0,0.0,0.0,-1.79,1.24,0.0
20190111:0310,0.0,0.0,0.0,-1.92,1.31,0.0
20190111:0410,0.0,0.0,0.0,-2.15,1.38,0.0
20190111:0510,0.0,0.0,0.0,-2.83,1.45,0.0
20190111:0610,0.0,0.0,0.0,-3.22,1.45,0.0
20190111:0710,27.42,47.96,4.97,-2.22,1.38,0.0
